Cong ID,Congregation Name,Number of Youth Male,Number of Youth Female,Number of Youth Nonbinary,Number of Youth Gender Non-Conforming,Number of Adult Male,Number of Adult Female,Number of Adult Nonbinary,Number of Adult Gender Non-Conforming,Number of MYLE participants,Number of the tAble participants,Doubles Requested,Kings Requested,Priority Incentive,Hotel Price Range,Hotel Location
4676,Lutheran Church Of The Good Shepherd,5,6,,,1,3,,,,,3,3,Accompaniment experience,$151-165 + tax,Downtown
20155,Lutheran Church Of The Good Shepherd,5,3,,1,2,1,,,,,4,2,Hotel location,$151-165 + tax,Downtown
2914,Lutheran Church Of The Good Shepherd,8,5,,,1,3,,,,,7,,Accompaniment experience,$140-150 + tax,Downtown
373,Lutheran Church Of The Holy Spirit,6,6,,,1,2,,,,,,,,,
5195,Lutheran Church Of The Incarnation,4,3,,2,1,2,,,,,6,,Hotel location,$166-185 + tax,Downtown
2783,Lutheran Church of the Master,1,,,,1,1,,,,,1,3,Hotel location,$151-165 + tax,Superdome
4211,Lutheran Church Of The Nativity,5,4,,,,2,,,,,4,,Hotel location,$151-165 + tax,Downtown
4243,Lutheran Church Of The Redeemer,2,3,,,1,1,,,,,2,1,Hotel location,$151-165 + tax,Convention Center
5771,Lutheran Church of the Redeemer,8,4,,1,1,2,,,,1,3,3,Accompaniment experience,$140-150 + tax,Superdome
7161,Lutheran Church of the Redeemer,2,7,,,2,3,,,14,,4,2,Hotel price,$140-150 + tax,Convention Center
6036,Lutheran Church of the Redeemer,2,4,,,2,2,,,,,4,3,Hotel location,$166-185 + tax,Superdome
5748,Lutheran Church Of The Resurrection,,1,,,,1,,,,,2,,Hotel location,$151-165 + tax,Convention Center
14780,Lutheran Church Of The Resurrection,7,6,,,2,2,,,,,6,,Hotel location,$140-150 + tax,Superdome
3002,Lyndale Lutheran Church,1,4,,,1,1,,,,,3,,Accompaniment experience,,Superdome
31333,Madison Neighborhood Ministry,3,5,,,,1,,,,,,,,,
12278,Martin Lutheran Church,4,2,,,1,1,,,,,1,3,Hotel price,$140-150 + tax,Downtown
12147,Maynard Lutheran Church,,1,,,,2,,,,,2,,Hotel location,$140-150 + tax,Convention Center
14281,Memorial Lutheran Church,2,2,,,1,2,,,,,2,2,Hotel price,$140-150 + tax,Convention Center
1723,Memorial Lutheran Church,1,3,,,1,2,,,1,,4,1,Hotel location,$166-185 + tax,Downtown
2043,Messiah Lutheran Church,2,1,,,,1,,,,,,,,,
2962,Messiah Lutheran Church,5,,,,1,1,,,,,2,2,Accompaniment experience,,
7079,Messiah Lutheran Church,3,3,,,1,3,,,7,3,2,2,Accompaniment experience,$140-150 + tax,Superdome
14579,Messiah Lutheran Church,1,2,,,1,1,,,,,3,,Hotel location,$151-165 + tax,French Quarter
2431,Messiah Lutheran Church,,9,,,,3,,,,,4,,Hotel location,$166-185 + tax,Downtown
7236,Messiah Lutheran Church,5,4,,,1,2,,,,,4,3,Hotel location,$151-165 + tax,Superdome
30022,Messiah Lutheran Church,2,5,,,1,2,,,,,5,,Hotel location,$151-165 + tax,Superdome
1612,Messiah Lutheran Church,11,1,,,2,3,,,,,5,2,Accompaniment experience,$166-185 + tax,French Quarter
2234,Messiah Lutheran Church,4,10,,,2,3,,,,,7,,Accompaniment experience,$151-165 + tax,French Quarter
16110,Messiah Lutheran Church,4,4,,,2,2,,,,,8,,Hotel location,$140-150 + tax,Downtown
4926,Messiah Lutheran Church,9,8,,1,3,3,,,,,9,,Hotel location,$166-185 + tax,Downtown
14194,Midland Lutheran Church,3,1,,,2,1,,,,,3,,Hotel location,$166-185 + tax,Downtown
14718,Midvale Community Lutheran Church,8,7,,,2,2,,,,,7,3,Hotel location,$166-185 + tax,Downtown
31402,Milton Lutheran Church,2,2,,,2,1,,,,,2,2,Hotel location,$140-150 + tax,French Quarter
30933,Minnesota Swahili Christian Congregation,5,13,,,,5,,,23,,7,,Hotel location,$166-185 + tax,Downtown
31355,Mision Luterana Unidad De Berwyn,7,14,,,2,6,,,29,,,,,,
3298,Morning Star Lutheran Church,6,,,,1,,,,,,,,,,
2996,Mount Calvary Lutheran Church,15,,,,2,1,,,,,,,,,
11405,Mount Calvary Lutheran Church,,,,,,1,,,,,,,,,
11727,Mount Calvary Lutheran Church,5,7,,,1,2,,,,,4,2,Accompaniment experience,$151-165 + tax,Superdome
13985,Mount Carmel Lutheran Church,1,2,,,,2,,,,,3,,Accompaniment experience,$151-165 + tax,Downtown
14741,Mount Carmel Lutheran Church,,5,,,,2,,,,,4,1,Accompaniment experience,$140-150 + tax,French Quarter
5091,Mount Cross Lutheran Church,3,7,,1,2,3,,,,,6,,Hotel location,$151-165 + tax,Superdome
4995,Mount Of Olives Lutheran Church,1,2,,,,1,,,4,,,,,,
3004,Mount Olivet Lutheran Church,9,20,,,3,4,,,,,13,,Hotel location,$140-150 + tax,Convention Center
6738,Mount Zion Lutheran Church,,,,,1,,,,,,,,,,
7355,Nativity Lutheran Church,,2,,,,2,,,,,1,2,Hotel location,$166-185 + tax,Downtown
3029,Nativity Lutheran Church,8,11,,,,1,,,,,8,,Hotel location,$140-150 + tax,Downtown
13570,New Helgen Lutheran Church,3,5,,,,3,,,,,3,1,Hotel location,$166-185 + tax,Superdome
14623,New Hope Lutheran,3,4,,,1,1,,,,,2,,Accompaniment experience,$151-165 + tax,French Quarter
14384,New Hope Lutheran Church,1,3,,,1,2,,,,,,,,,
